Fold,F1,Recall,Precision,Accuracy,AUC-ROC
5,0.9426323676323676,0.9056603773584906,0.9411764705882353,0.9428571428571428,0.9863370201691606
6,0.9642220455790765,0.9444444444444444,0.9622641509433962,0.9642857142857143,0.9976313522825151
7,0.9372074983839691,0.9743589743589743,0.8260869565217391,0.9357142857142857,0.9956841838029956
8,0.9641612133814446,0.9285714285714286,0.9512195121951219,0.9642857142857143,0.9963556851311954
9,0.9785227135592434,1.0,0.9464285714285714,0.9784172661870504,0.9934181658622203
10,0.9786176542634311,0.98,0.9607843137254902,0.9785714285714285,0.9915555555555556
11,0.9646592169985236,0.975,0.9069767441860465,0.9642857142857143,0.99725
12,0.9644639120737625,0.9811320754716981,0.9285714285714286,0.9642857142857143,0.9941444372153546
13,0.9575238095238096,0.9791666666666666,0.9038461538461539,0.9571428571428572,0.9879981884057971
14,0.9639475824114704,0.94,0.9591836734693877,0.9640287769784173,0.9973033707865169
0,0.9641785651256797,0.9333333333333333,0.9545454545454546,0.9642857142857143,0.9962573099415204
1,0.9569410181655079,0.92,0.9583333333333334,0.9571428571428572,0.9908888888888889
2,0.9428571428571428,0.9183673469387755,0.9183673469387755,0.9428571428571428,0.9923749719668088
3,0.9715631307468042,0.9791666666666666,0.94,0.9714285714285714,0.9972826086956522
