Fold,F1,Recall,Precision,Accuracy,AUC-ROC
7,0.7791497113820854,0.5925925925925926,0.7441860465116279,0.7857142857142857,0.8412962962962962
8,0.6827264736806803,0.6379310344827587,0.5692307692307692,0.6797385620915033,0.7337568058076225
9,0.7254901960784313,0.631578947368421,0.631578947368421,0.7254901960784313,0.7735745614035088
10,0.708338230397054,0.6170212765957447,0.5087719298245614,0.7012987012987013,0.7460727778882481
11,0.7752106079627352,0.7058823529411765,0.6428571428571429,0.7727272727272727,0.821245002855511
12,0.6740822952557647,0.543859649122807,0.5636363636363636,0.6753246753246753,0.7614396816784228
13,0.79234360410831,0.7833333333333333,0.7121212121212122,0.7908496732026143,0.8526881720430107
14,0.7802937326133201,0.7358490566037735,0.6610169491525424,0.7777777777777778,0.8390566037735849
0,0.7252586985207305,0.7090909090909091,0.5909090909090909,0.7207792207792207,0.7625344352617079
1,0.7767602847241246,0.7021276595744681,0.6111111111111112,0.7727272727272727,0.8200437462716246
2,0.7545432570813281,0.6065573770491803,0.74,0.7597402597402597,0.8069804336329984
3,0.7660364145658264,0.6382978723404256,0.6122448979591837,0.7647058823529411,0.781613809714974
4,0.738562091503268,0.6551724137931034,0.6551724137931034,0.738562091503268,0.8132486388384754
5,0.7844889252723812,0.6976744186046512,0.5882352941176471,0.7792207792207793,0.8361617431384873
6,0.7592678049530841,0.6607142857142857,0.6727272727272727,0.7597402597402597,0.8642492711370262
7,0.7641125862030235,0.5555555555555556,0.7317073170731707,0.7727272727272727,0.8292592592592593
8,0.7079846010327294,0.6551724137931034,0.6031746031746031,0.7058823529411765,0.737568058076225
9,0.7532013887415766,0.7017543859649122,0.6557377049180327,0.7516339869281046,0.7797880116959065
10,0.7129775089310173,0.5957446808510638,0.5185185185185185,0.7077922077922078,0.7385166036985483
11,0.7683299327237305,0.6862745098039216,0.6363636363636364,0.7662337662337663,0.8241005139920046
12,0.687119003445534,0.5614035087719298,0.5818181818181818,0.6883116883116883,0.7755471152107071
13,0.780011655011655,0.8,0.6857142857142857,0.7777777777777778,0.8421146953405018
14,0.7864063158180805,0.7358490566037735,0.6724137931034483,0.7843137254901961,0.8381132075471699
0,0.7129673227234202,0.7090909090909091,0.5735294117647058,0.7077922077922078,0.7887970615243343
1,0.7797997493723832,0.7872340425531915,0.5967741935483871,0.7727272727272727,0.8323722410021873
2,0.7655291516993644,0.6885245901639344,0.711864406779661,0.7662337662337663,0.8320112815089018
3,0.7812081984897519,0.7021276595744681,0.6226415094339622,0.7777777777777778,0.823163388197511
4,0.7577515625720658,0.6724137931034483,0.6842105263157895,0.7581699346405228,0.8303085299455536
5,0.7902904297502947,0.6976744186046512,0.6,0.7857142857142857,0.8575319505552064
6,0.7511447811447811,0.625,0.6730769230769231,0.7532467532467533,0.8567784256559767
7,0.7891223567979707,0.6481481481481481,0.7291666666666666,0.7922077922077922,0.8355555555555556
8,0.6775055996181244,0.6724137931034483,0.5571428571428572,0.673202614379085,0.7368421052631579
9,0.7600173759343309,0.7192982456140351,0.6612903225806451,0.7581699346405228,0.7922149122807017
10,0.7173955296404275,0.574468085106383,0.5294117647058824,0.7142857142857143,0.7607874328892424
11,0.7752106079627352,0.7058823529411765,0.6428571428571429,0.7727272727272727,0.8294308014467923
12,0.6963211308761047,0.6140350877192983,0.5833333333333334,0.6948051948051948,0.7815156447820581
13,0.7929521458933223,0.8166666666666667,0.7,0.7908496732026143,0.8602150537634409
14,0.7938309826854719,0.7735849056603774,0.6721311475409836,0.7908496732026143,0.8505660377358489
0,0.7384813384813386,0.7454545454545455,0.6029411764705882,0.7337662337662337,0.7915518824609734
1,0.7649630502105047,0.7021276595744681,0.5892857142857143,0.7597402597402597,0.8188506661364089
2,0.777802750327282,0.6885245901639344,0.7368421052631579,0.7792207792207793,0.8254891591750396
3,0.7742557716982269,0.6808510638297872,0.6153846153846154,0.7712418300653595,0.813930148534725
4,0.737630432289875,0.6379310344827587,0.6607142857142857,0.738562091503268,0.822141560798548
5,0.8098431693579834,0.7441860465116279,0.6274509803921569,0.8051948051948052,0.8598365807668134
6,0.7652892561983471,0.6607142857142857,0.6851851851851852,0.7662337662337663,0.8502186588921283
7,0.7771395271395272,0.6481481481481481,0.7,0.7792207792207793,0.832037037037037
8,0.6646058236028494,0.6551724137931034,0.5428571428571428,0.6601307189542484,0.7426497277676951
9,0.7532013887415766,0.7017543859649122,0.6557377049180327,0.7516339869281046,0.7872807017543859
10,0.719942345870387,0.6170212765957447,0.5272727272727272,0.7142857142857143,0.7518393318751243
11,0.7812004920168566,0.7058823529411765,0.6545454545454545,0.7792207792207793,0.8241005139920046
12,0.7272727272727273,0.631578947368421,0.631578947368421,0.7272727272727273,0.7827816965093145
13,0.8060728993791874,0.85,0.7083333333333334,0.803921568627451,0.8589605734767025
14,0.7625006317816775,0.7547169811320755,0.625,0.7581699346405228,0.8464150943396227
0,0.7124800333356484,0.6909090909090909,0.5757575757575758,0.7077922077922078,0.7704315886134068
1,0.7708619193484985,0.7021276595744681,0.6,0.7662337662337663,0.8168621992443825
2,0.7557168495221592,0.6229508196721312,0.7307692307692307,0.7597402597402597,0.8147364710029966
3,0.7731375224911978,0.6595744680851063,0.62,0.7712418300653595,0.8065034122842232
4,0.7436954881911496,0.6379310344827587,0.6727272727272727,0.7450980392156863,0.8326678765880218
5,0.7971660473151823,0.7209302325581395,0.6078431372549019,0.7922077922077922,0.861512675466164
6,0.7702439374918103,0.6428571428571429,0.7058823529411765,0.7727272727272727,0.858600583090379
7,0.7465323791854404,0.5555555555555556,0.6818181818181818,0.7532467532467533,0.8481481481481481
8,0.6579528364081009,0.6379310344827587,0.5362318840579711,0.6535947712418301,0.7424682395644283
9,0.7217665891462682,0.6842105263157895,0.609375,0.7189542483660131,0.772843567251462
10,0.7443056943056943,0.6382978723404256,0.5660377358490566,0.7402597402597403,0.7611851262676477
11,0.7760277618283242,0.7254901960784313,0.6379310344827587,0.7727272727272727,0.8218161050828099
12,0.706068386271432,0.5789473684210527,0.6111111111111112,0.7077922077922078,0.7849520708988967
13,0.780011655011655,0.8,0.6857142857142857,0.7777777777777778,0.8571684587813619
14,0.7809454191033138,0.7547169811320755,0.6557377049180327,0.7777777777777778,0.8481132075471698
0,0.7252586985207305,0.7090909090909091,0.5909090909090909,0.7207792207792207,0.7651056014692378
1,0.7581320259789704,0.6808510638297872,0.5818181818181818,0.7532467532467533,0.8216345197852455
2,0.7280073929820123,0.5737704918032787,0.7,0.7337662337662337,0.817028027498678
3,0.7660364145658264,0.6382978723404256,0.6122448979591837,0.7647058823529411,0.7810116419108791
4,0.7474527409167931,0.603448275862069,0.7,0.7516339869281046,0.8217785843920146
5,0.7786912864748298,0.6976744186046512,0.5769230769230769,0.7727272727272727,0.8397234443746071
6,0.7451770948151937,0.625,0.660377358490566,0.7467532467532467,0.8607871720116618
7,0.7716705464346973,0.5740740740740741,0.7380952380952381,0.7792207792207793,0.8329629629629629
8,0.6751352870897463,0.603448275862069,0.5645161290322581,0.673202614379085,0.7295825771324863
9,0.7124183006535948,0.6140350877192983,0.6140350877192983,0.7124183006535948,0.768640350877193
10,0.719942345870387,0.6170212765957447,0.5272727272727272,0.7142857142857143,0.7442831576854245
11,0.7473649249164286,0.6274509803921569,0.6153846153846154,0.7467532467532467,0.81305920426423
12,0.6930047589946067,0.5614035087719298,0.5925925925925926,0.6948051948051948,0.770482908301682
13,0.7851761256281801,0.75,0.7142857142857143,0.7843137254901961,0.842831541218638
14,0.7986311431075169,0.7358490566037735,0.6964285714285714,0.7973856209150327,0.8271698113207547
0,0.7252586985207305,0.7090909090909091,0.5909090909090909,0.7207792207792207,0.7856749311294766
1,0.7977975695143638,0.7872340425531915,0.6271186440677966,0.7922077922077922,0.8218333664744482
2,0.7908731767786182,0.7049180327868853,0.7543859649122807,0.7922077922077922,0.8302485457429931
3,0.788105553740453,0.723404255319149,0.6296296296296297,0.7843137254901961,0.8177438779606584
4,0.737630432289875,0.6379310344827587,0.6607142857142857,0.738562091503268,0.8223230490018149
5,0.8039837108777064,0.7441860465116279,0.6153846153846154,0.7987012987012987,0.857950974230044
6,0.7582449361067222,0.6428571428571429,0.6792452830188679,0.7597402597402597,0.8613338192419825
