Fold,F1,Recall,Precision,Accuracy
8,0.9124361571288016,0.9145299145299145,0.9129384582991372,0.9145299145299145
9,0.9121642962590399,0.9137529137529138,0.9122402869819712,0.9137529137529138
10,0.9210053266303658,0.9222999222999223,0.9213716827954715,0.9222999222999223
11,0.9334702588357469,0.9347319347319347,0.9343024180278556,0.9347319347319347
12,0.902363309505819,0.9036519036519036,0.9020931777351006,0.9036519036519036
13,0.9195416324305498,0.9207459207459208,0.9194584280782612,0.9207459207459208
14,0.9257849788464081,0.9269619269619269,0.9258225915821551,0.9269619269619269
0,0.919548689897514,0.9199689199689199,0.9197465394484534,0.9199689199689199
1,0.9190020007192213,0.9207459207459208,0.9192252139615534,0.9207459207459208
2,0.9240053255804356,0.9261849261849262,0.9243155123226775,0.9261849261849262
3,0.9355880229630023,0.9378399378399378,0.9373581027369878,0.9378399378399378
4,0.910475668530493,0.912975912975913,0.9108739146229906,0.912975912975913
5,0.9263835872339065,0.9277389277389277,0.9262571212276676,0.9277389277389277
6,0.9217910571403118,0.9246309246309247,0.9221526258992322,0.9246309246309247
7,0.9176533045430407,0.9191919191919192,0.917131977391236,0.9191919191919192
8,0.9083841134318447,0.9106449106449106,0.9093320965118952,0.9106449106449106
9,0.9097662239329233,0.9114219114219114,0.9098365155638086,0.9114219114219114
10,0.9199375224568861,0.9215229215229215,0.920210823219726,0.9215229215229215
11,0.9279101420625421,0.9292929292929293,0.9285624062311759,0.9292929292929293
12,0.9021286915373458,0.9036519036519036,0.9017659908737309,0.9036519036519036
13,0.917529147085129,0.9199689199689199,0.9175310883221132,0.9199689199689199
14,0.9256742137281861,0.9269619269619269,0.925861065741232,0.9269619269619269
0,0.9198044699205961,0.9199689199689199,0.9199550990418276,0.9199689199689199
1,0.9140572555281833,0.916083916083916,0.9149043631490474,0.916083916083916
2,0.9273737798550782,0.9292929292929293,0.927473057632799,0.9292929292929293
3,0.931121276812588,0.9331779331779332,0.9316750282323593,0.9331779331779332
4,0.9113374064259492,0.912975912975913,0.9112375445177991,0.912975912975913
5,0.9274233288713202,0.9285159285159286,0.927403907014102,0.9285159285159286
6,0.92642167732411,0.9285159285159286,0.9268377099589908,0.9285159285159286
7,0.917130264410285,0.9184149184149184,0.9166249966448834,0.9184149184149184
8,0.912583662668358,0.9145299145299145,0.9133412090083429,0.9145299145299145
9,0.9111451913204172,0.912975912975913,0.9115852693136621,0.912975912975913
10,0.9247280722450945,0.9261849261849262,0.9253653835535149,0.9261849261849262
11,0.932740111490142,0.933954933954934,0.933586469491039,0.933954933954934
12,0.9054338744476802,0.9067599067599068,0.9056971157894336,0.9067599067599068
13,0.91862295663437,0.9199689199689199,0.9183583780269166,0.9199689199689199
14,0.9188612708005394,0.9199689199689199,0.9187489776893845,0.9199689199689199
0,0.9215298367911625,0.9215229215229215,0.921786955895602,0.9215229215229215
1,0.9195926519197191,0.9215229215229215,0.920184744950632,0.9215229215229215
2,0.9232443251980285,0.9254079254079254,0.9240606788117444,0.9254079254079254
3,0.930414613640662,0.9324009324009324,0.9313762147915178,0.9324009324009324
4,0.9140586984537306,0.916083916083916,0.9141468507556846,0.916083916083916
5,0.9240845062650354,0.9254079254079254,0.9238252242310327,0.9254079254079254
6,0.9254934260614811,0.9277389277389277,0.9260629569538577,0.9277389277389277
7,0.9166970287352565,0.9176379176379177,0.9162813299244524,0.9176379176379177
8,0.910166635747741,0.9121989121989122,0.9114442710924113,0.9121989121989122
9,0.9148948497191942,0.9168609168609169,0.9160997175794867,0.9168609168609169
10,0.9223503653100867,0.9238539238539238,0.923053023747836,0.9238539238539238
11,0.9309296503836977,0.9324009324009324,0.9317530032523179,0.9324009324009324
12,0.9009281933530897,0.9020979020979021,0.9007167335695413,0.9020979020979021
13,0.9167211668977285,0.9184149184149184,0.9166620971075103,0.9184149184149184
14,0.9210368632971704,0.9222999222999223,0.9209195797283115,0.9222999222999223
0,0.917225457868559,0.9176379176379177,0.9173719985676194,0.9176379176379177
1,0.9130204772271516,0.9145299145299145,0.912970042285502,0.9145299145299145
2,0.9202676152309791,0.9222999222999223,0.920480366307077,0.9222999222999223
3,0.9304787087447253,0.9324009324009324,0.9314013096431314,0.9324009324009324
4,0.9122061644489285,0.9145299145299145,0.9123479852543044,0.9145299145299145
5,0.9241168076602211,0.9254079254079254,0.9239156073306297,0.9254079254079254
6,0.9246852034049193,0.9269619269619269,0.9249286016724054,0.9269619269619269
7,0.9147880575144758,0.916083916083916,0.9142935552384629,0.916083916083916
8,0.9111993789884741,0.912975912975913,0.9116140955644654,0.912975912975913
9,0.9125676545710787,0.9145299145299145,0.9128186185099828,0.9145299145299145
10,0.919631497619146,0.9215229215229215,0.9201750924928809,0.9215229215229215
11,0.9342718451203573,0.9355089355089355,0.9348191332827894,0.9355089355089355
12,0.8992940957271005,0.9005439005439005,0.8990258779731631,0.9005439005439005
13,0.917641894737478,0.9191919191919192,0.9172256611745847,0.9191919191919192
14,0.9236364505677888,0.9246309246309247,0.9235227719398647,0.9246309246309247
0,0.9190429400232397,0.9191919191919192,0.9192173729828349,0.9191919191919192
1,0.9187042623148165,0.9199689199689199,0.9190116416992888,0.9199689199689199
2,0.9275924831873109,0.9292929292929293,0.9278159275937022,0.9292929292929293
3,0.9324311932483401,0.9347319347319347,0.9335568599040157,0.9347319347319347
4,0.9108685951259453,0.912975912975913,0.9112856122290561,0.912975912975913
5,0.9270870814411524,0.9277389277389277,0.9270453560923088,0.9277389277389277
6,0.9290050291057491,0.9308469308469308,0.9295534269550846,0.9308469308469308
7,0.9145237913179958,0.916083916083916,0.9140812120878068,0.916083916083916
8,0.9112333841687396,0.912975912975913,0.9116846439198749,0.912975912975913
9,0.9152977065694131,0.9168609168609169,0.9152492136470106,0.9168609168609169
10,0.9217350998110472,0.9230769230769231,0.9222608539719873,0.9230769230769231
11,0.9305131122189279,0.9316239316239316,0.9308075420068347,0.9316239316239316
12,0.9067216074597848,0.9083139083139083,0.9063809925554307,0.9083139083139083
13,0.9233099171541388,0.9246309246309247,0.9230144400858605,0.9246309246309247
14,0.9197910503864927,0.9207459207459208,0.919613182318299,0.9207459207459208
0,0.9211123238231531,0.9215229215229215,0.9215825866215076,0.9215229215229215
1,0.9179226860473652,0.9199689199689199,0.9187317984030854,0.9199689199689199
2,0.9250535394004432,0.9277389277389277,0.9260293759171244,0.9277389277389277
3,0.931020380519879,0.9331779331779332,0.9319567577980916,0.9331779331779332
4,0.9162788222647813,0.9184149184149184,0.9163807698349332,0.9184149184149184
5,0.9289100310624792,0.9300699300699301,0.9286801864658939,0.9300699300699301
6,0.9265030750926735,0.9292929292929293,0.9270359109932226,0.9292929292929293
7,0.9149654346907322,0.916083916083916,0.9143306483550216,0.916083916083916
8,0.9142843690431653,0.9168609168609169,0.9152799205388478,0.9168609168609169
9,0.9140606875641342,0.916083916083916,0.9148395681700817,0.916083916083916
10,0.9183636044804347,0.9199689199689199,0.9192413964494641,0.9199689199689199
11,0.9357950787748998,0.9370629370629371,0.9362670232566129,0.9370629370629371
12,0.9066742748110526,0.9083139083139083,0.9063046655054843,0.9083139083139083
13,0.9238822706799218,0.9254079254079254,0.9237045594290453,0.9254079254079254
14,0.9275047671192578,0.9285159285159286,0.9275714944833806,0.9285159285159286
0,0.9200513617538281,0.9199689199689199,0.9204587498683845,0.9199689199689199
1,0.9187133315759733,0.9199689199689199,0.9189838469593324,0.9199689199689199
2,0.9265809706969192,0.9285159285159286,0.9268992344368268,0.9285159285159286
3,0.9308016238545925,0.9331779331779332,0.9317733060783583,0.9331779331779332
4,0.9136437019440309,0.9153069153069153,0.9137879643689788,0.9153069153069153
5,0.9253181144602227,0.9261849261849262,0.9252128277040054,0.9261849261849262
6,0.9263548269853109,0.9285159285159286,0.9267610884713268,0.9285159285159286
7,0.9164882372418661,0.9176379176379177,0.9159321608734515,0.9176379176379177
8,0.9149165940581696,0.9168609168609169,0.9159161827559547,0.9168609168609169
9,0.9081300578737753,0.9098679098679099,0.9084317850058872,0.9098679098679099
10,0.9167960942887767,0.9184149184149184,0.9168946012423439,0.9184149184149184
11,0.9328620997930142,0.933954933954934,0.9335734884305417,0.933954933954934
12,0.9039862719260999,0.9052059052059052,0.9035953439915501,0.9052059052059052
13,0.9182116236347526,0.9191919191919192,0.9181154518735949,0.9191919191919192
14,0.9189208156955706,0.9199689199689199,0.9187376421765313,0.9199689199689199
0,0.9181859737998443,0.9184149184149184,0.9183913842055117,0.9184149184149184
1,0.9228144974057173,0.9238539238539238,0.922730833224007,0.9238539238539238
2,0.9200473791545885,0.9215229215229215,0.9201713552161402,0.9215229215229215
3,0.9322221289605269,0.933954933954934,0.9328770555940491,0.933954933954934
4,0.9145979976860152,0.916083916083916,0.9146706785761377,0.916083916083916
5,0.9223896958324829,0.9238539238539238,0.9221011582117545,0.9238539238539238
6,0.9271381525161094,0.9292929292929293,0.9274274074635614,0.9292929292929293
7,0.9154003537077455,0.9168609168609169,0.914957724724499,0.9168609168609169
8,0.9075943104856121,0.9098679098679099,0.9088040570125261,0.9098679098679099
9,0.9072913262892462,0.9090909090909091,0.907250110796534,0.9090909090909091
10,0.9209459267300821,0.9222999222999223,0.9216145932208278,0.9222999222999223
11,0.923345481580183,0.9246309246309247,0.9239490129876703,0.9246309246309247
12,0.9007380878100325,0.9020979020979021,0.9004092610099144,0.9020979020979021
13,0.9184583207485101,0.9199689199689199,0.9181470510142964,0.9199689199689199
14,0.9212602517106043,0.9222999222999223,0.9212030334811867,0.9222999222999223
0,0.9250193157815942,0.9254079254079254,0.9251659620163297,0.9254079254079254
1,0.9088797073593242,0.9114219114219114,0.9094190532293965,0.9114219114219114
2,0.9238165632508653,0.9261849261849262,0.9244166977237314,0.9261849261849262
3,0.9326620930145263,0.9347319347319347,0.9337024642843744,0.9347319347319347
4,0.9121922016722505,0.9145299145299145,0.9123652122138747,0.9145299145299145
5,0.928749459006317,0.9300699300699301,0.9286799431831845,0.9300699300699301
6,0.9242128515520255,0.9269619269619269,0.9245979244661812,0.9269619269619269
7,0.917905341605486,0.9191919191919192,0.9174519820831173,0.9191919191919192
8,0.9138975792063547,0.916083916083916,0.9153000148053075,0.916083916083916
9,0.9092782976310512,0.9114219114219114,0.9099405577560739,0.9114219114219114
10,0.9252460419884203,0.9269619269619269,0.9259878060847212,0.9269619269619269
11,0.9295080038211206,0.9308469308469308,0.930342627618391,0.9308469308469308
12,0.9019150730455141,0.9036519036519036,0.9014567711796717,0.9036519036519036
13,0.9212835055482941,0.9230769230769231,0.9211572908678756,0.9230769230769231
14,0.920387886666313,0.9215229215229215,0.9202042497678219,0.9215229215229215
0,0.9135627079438928,0.9137529137529138,0.9136786543040936,0.9137529137529138
1,0.9036117718035275,0.905982905982906,0.9037604996239728,0.905982905982906
2,0.9171225101826889,0.9199689199689199,0.9180745841291219,0.9199689199689199
3,0.9258037944521358,0.9285159285159286,0.9267104379204483,0.9285159285159286
4,0.9019953822550684,0.9044289044289044,0.9015530548253544,0.9044289044289044
5,0.9178351760165989,0.9191919191919192,0.917722406385682,0.9191919191919192
6,0.9246978335313178,0.9269619269619269,0.9244031156324679,0.9269619269619269
7,0.9095684159157144,0.9106449106449106,0.9089784527709642,0.9106449106449106
8,0.9051097698089828,0.9075369075369075,0.9057943130268563,0.9075369075369075
9,0.8982391135494289,0.9005439005439005,0.8981683359566458,0.9005439005439005
10,0.9196469285149901,0.9215229215229215,0.9200071456589258,0.9215229215229215
11,0.920558978884448,0.9222999222999223,0.921066265964534,0.9222999222999223
12,0.8980765308582354,0.8997668997668997,0.8975501160699192,0.8997668997668997
13,0.9123663994032675,0.9137529137529138,0.9118701160429761,0.9137529137529138
14,0.9185654146069723,0.9199689199689199,0.918814170235869,0.9199689199689199
0,0.9220702599030803,0.9222999222999223,0.9221647297312064,0.9222999222999223
1,0.9184933905606151,0.9199689199689199,0.9186594388371996,0.9199689199689199
