Fold,F1,Recall,Precision,Accuracy
0,0.8963892160135521,0.8963795255930087,0.8970277223309362,0.8963795255930087
1,0.8612532530967918,0.86125,0.8612591981294271,0.86125
2,0.8430622032995442,0.84375,0.8433786274509804,0.84375
3,0.8962378375210035,0.89625,0.896295731707317,0.89625
4,0.8675057969112308,0.8675,0.8680430596884299,0.8675
5,0.8627436273626711,0.8626716604244694,0.8635039430134879,0.8626716604244694
6,0.8850503742084053,0.885,0.8853773785478899,0.885
7,0.874522030489295,0.875,0.8746205712999605,0.875
8,0.86756381388425,0.8675,0.8681589408940894,0.8675
9,0.8447280701754386,0.845,0.8465388683236382,0.845
10,0.8713781204059289,0.8714107365792759,0.8713700419028436,0.8714107365792759
11,0.878750947302629,0.87875,0.8787546407410184,0.87875
12,0.8699845275903758,0.87,0.8699799498746867,0.87
13,0.8737182139612273,0.87375,0.8738203723986857,0.87375
14,0.8569997793178575,0.8575,0.8569192511062778,0.8575
0,0.8951425280041904,0.8951310861423221,0.8957009406031462,0.8951310861423221
1,0.8512590668473393,0.85125,0.8512920768870136,0.85125
2,0.8506103308076141,0.85125,0.8506103384954781,0.85125
3,0.8799729863243266,0.88,0.880122128998755,0.88
4,0.8700121881855856,0.87,0.8702962574064352,0.87
5,0.8627328874387467,0.8626716604244694,0.8646126184508551,0.8626716604244694
6,0.886268697898321,0.88625,0.8863123497596155,0.88625
7,0.8657885799376183,0.86625,0.8663577839445986,0.86625
8,0.8500675151909179,0.85,0.8516653747093096,0.85
9,0.8422563095484186,0.8425,0.8438018317230274,0.8425
10,0.8751751955862432,0.8751560549313359,0.8752052745988839,0.8751560549313359
11,0.8712485916890512,0.87125,0.871249906240624,0.87125
12,0.8787110598305863,0.87875,0.8787409466297947,0.87875
13,0.8712288623879892,0.87125,0.8712758476140423,0.87125
14,0.863266519989234,0.86375,0.8635186660916523,0.86375
0,0.8899832745970399,0.8888888888888888,0.8917939881957617,0.8888888888888888
1,0.8510457024637952,0.85,0.8521184309781242,0.85
2,0.8468904388646016,0.8475,0.846694979207896,0.8475
3,0.8787357860185222,0.87875,0.8787902595372108,0.87875
4,0.8650101252531313,0.865,0.8654095409540955,0.865
5,0.7741487709388886,0.7740324594257179,0.7748078497035451,0.7740324594257179
