Fold,Accuracy,F1,AUC-ROC
9,0.9135330786245727,0.9070420706971261,0.9368807033684335
10,0.912335377500754,0.9065998103835087,0.9420531586134202
11,0.9110284507891827,0.9040743026727286,0.9382243230983042
12,0.9111200482606073,0.9051324713088738,0.9406926474935837
13,0.914136336215564,0.9082886849763289,0.9399663836325929
14,0.90860647496481,0.9037719322054211,0.9333729924478962
0,0.884286719613954,0.8299830321425961,0.8943390665293323
1,0.8851915150296572,0.8312832007077784,0.9118727816447232
2,0.8838729137341644,0.8293885664340119,0.9030158746573262
3,0.8802533681882164,0.8241931702569738,0.903575646589858
4,0.8822642268248542,0.827078531102836,0.9130804022178917
5,0.8820749974866794,0.8268069043264917,0.9082316368733397
6,0.8817733990147784,0.8263740231604468,0.9161170624902566
7,0.8813593404383672,0.8257798181148703,0.9085433125674311
8,0.8856826865071386,0.8319892066586386,0.9034510659273174
9,0.8849788859843153,0.830977614085123,0.9091677749653211
10,0.8834824570222177,0.8288277376366426,0.91226068923699
11,0.8808686035990752,0.825075707385226,0.8939796609255348
12,0.8792479388698975,0.8227514017888024,0.9093152313990294
13,0.884275085461492,0.829966317339931,0.9123238610516895
14,0.8879951739392721,0.8353150895975769,0.9015701838263994
0,0.884286719613954,0.8299830321425961,0.8894752729006827
1,0.8851915150296572,0.8312832007077784,0.904947187108105
2,0.8838729137341644,0.8293885664340119,0.8932239830089904
3,0.8802533681882164,0.8241931702569738,0.8932833870629762
4,0.8822642268248542,0.827078531102836,0.8950169942654999
5,0.8820749974866794,0.8268069043264917,0.8936806335699661
6,0.8817733990147784,0.8263740231604468,0.8998467332435197
7,0.8813593404383672,0.8257798181148703,0.8869965622184326
8,0.8856826865071386,0.8319892066586386,0.8866407816504129
9,0.8849788859843153,0.830977614085123,0.9082480161851326
10,0.8834824570222177,0.8288277376366426,0.8975219365335819
11,0.8808686035990752,0.825075707385226,0.8867123761312996
12,0.8792479388698975,0.8227514017888024,0.8916062895938157
13,0.884275085461492,0.829966317339931,0.9031281595606857
14,0.8879951739392721,0.8353150895975769,0.8856675090417088
0,0.9067055393586005,0.8910989942279409,0.9268211026337302
1,0.9015783653362823,0.8867915691102224,0.9272711134713897
2,0.9045847576915342,0.8911562524858608,0.9288203056943816
3,0.900160868690931,0.8828037169182547,0.9268798302133697
4,0.906796702191836,0.8919153213587553,0.9330445403032934
5,0.9055996782949634,0.8908385860489262,0.9307257783838206
