Fold,F1,Recall,Precision,Accuracy,AUC-ROC
14,0.8460297758428855,0.8852566198103956,0.6043293907609909,0.836916461916462,0.9326102292971461
0,0.8595412762887467,0.8913676042677012,0.6340846366145354,0.8520537428023033,0.9455422153540942
1,0.8594254031995666,0.8929692404268675,0.6426473910097131,0.8523608445297505,0.9471753549791313
2,0.8627754534174094,0.8864951768488746,0.6440084092501752,0.8558814496314496,0.9443147726395555
3,0.86675964379813,0.9045958795562599,0.6521937842778793,0.8600276412776413,0.9489270296670858
4,0.8627531801088677,0.8878266411727215,0.6464037122969838,0.855958230958231,0.9471449024939118
5,0.8619073041592769,0.8951093951093951,0.639687284433203,0.8546641074856046,0.9461987520876297
6,0.8622686227485054,0.8926767676767676,0.646991535117822,0.8554318618042227,0.9459667180068925
7,0.8628278802326772,0.8936908517350157,0.6481354381148479,0.8560350122850123,0.9493459876979933
8,0.8614416385259104,0.8922526041666666,0.635815356065878,0.8540386977886978,0.9446445477353799
9,0.8643102337074522,0.890960809102402,0.651490640166397,0.8577242014742015,0.9472435686206129
10,0.8652465734581315,0.8808606294155427,0.6513892187128948,0.858809980806142,0.9466979949423991
11,0.8648409101391451,0.8984057517974366,0.653924914675768,0.8582725527831094,0.946961993325947
12,0.8595510871913687,0.8896289248334919,0.640557204841288,0.8524262899262899,0.9443988729587898
13,0.8641265311742032,0.8907190370605005,0.6504742077261161,0.8574938574938575,0.9487659742166635
14,0.8626530990802155,0.897025171624714,0.6359212050984936,0.8551904176904177,0.9486361631516126
0,0.85556944900732,0.8839314581312642,0.627495983474868,0.847831094049904,0.9425401491864693
1,0.8558552284394554,0.8857501569365976,0.6370203160270881,0.8485988483685221,0.9453863670889135
2,0.8598014712536844,0.8861736334405145,0.6376677464136974,0.8525798525798526,0.9414313416928998
3,0.8627111558872125,0.9033280507131537,0.6439222774514234,0.8555743243243243,0.9459154704762339
4,0.8604144795313704,0.8910133843212237,0.6405498281786941,0.8532708845208845,0.9448168328634128
5,0.8587699334038609,0.890926640926641,0.6340737348294023,0.8512859884836852,0.9438234709738189
6,0.8603070000139008,0.891729797979798,0.6430685180969724,0.8532821497120922,0.9436460161880549
7,0.8601733034284231,0.8927444794952681,0.6427435839200545,0.8531173218673219,0.9461838104463975
8,0.8566125628765164,0.8834635416666666,0.6276595744680851,0.8488943488943489,0.9412965437223673
9,0.8606892967197938,0.8846396965865992,0.6453769887018677,0.8538851351351351,0.9444136366783515
10,0.8605204274919254,0.8795761078998073,0.6413018028564739,0.8535892514395393,0.943353002933559
11,0.8599082837402103,0.8952797749296655,0.6443194600674915,0.852898272552783,0.9442300721519745
12,0.8550965994856292,0.8855058674278465,0.6322463768115942,0.8475890663390664,0.9417152372487422
13,0.8601850885587847,0.8799493189737092,0.6448467966573816,0.8534244471744472,0.9460759844930287
14,0.8614703854834835,0.8993135011441648,0.6328502415458938,0.8538083538083538,0.9452391149343067
0,0.8613116990184084,0.8933074684772065,0.6373702422145329,0.8539731285988483,0.946067269719902
1,0.8622965463819908,0.8970495919648462,0.6476319963743485,0.8554318618042227,0.9476025402578502
2,0.8644731298020969,0.8881028938906752,0.6472931802202953,0.8577242014742015,0.9453459072784791
3,0.8652750350027871,0.9004754358161648,0.6501144164759726,0.8584920147420148,0.9488053083347479
4,0.8625619078121081,0.8884639898024219,0.6458188556868195,0.8557278869778869,0.9474210267282843
5,0.8628280912091243,0.896074646074646,0.6414094887148779,0.8556621880998081,0.9471905587288264
6,0.8621915753767035,0.8923611111111112,0.6469107551487414,0.8553550863723608,0.9457582604220147
7,0.863713493705052,0.8958990536277602,0.6494397438829179,0.8569563882063882,0.9492766952714682
8,0.862206991407135,0.892578125,0.6373779637377964,0.8548832923832924,0.944692957184067
9,0.864457974544199,0.8941213653603034,0.6509433962264151,0.8578009828009828,0.9478018427389265
10,0.8660126857298397,0.8837508028259473,0.6522872718653709,0.8595777351247601,0.9471953241913401
11,0.8648389745420995,0.9012191309784308,0.6531490711372905,0.8581957773512476,0.9468012406176951
12,0.8587688961345135,0.8915318744053282,0.6384283443106973,0.851504914004914,0.9444526108975142
13,0.8637166303581952,0.8881849857459614,0.650278293135436,0.8571099508599509,0.9491468395353482
14,0.8643002804212636,0.8996404053612291,0.6388115134633241,0.8569563882063882,0.9481760040494788
0,0.8514986583367757,0.8832848367280957,0.6192203082502267,0.8433013435700576,0.9386982304110238
1,0.8502186681223347,0.8898305084745762,0.6245869134170522,0.8422264875239923,0.9412016676272036
2,0.8526557559452699,0.8813504823151126,0.6238051888939463,0.8447481572481572,0.9378153567626929
3,0.8551534317569774,0.8966719492868462,0.6299265197060788,0.8473587223587223,0.9422441270661512
4,0.8535299348152608,0.8833652007648184,0.628001812415043,0.8458230958230958,0.9406564665097987
5,0.8538329078252727,0.888996138996139,0.6242657026660642,0.8458349328214971,0.9403950472317922
