Fold,F1,Recall,Precision,Accuracy
11,0.8749968749804686,0.875,0.8751687763713081,0.875
12,0.8724848251367148,0.8725,0.8724805764411028,0.8725
13,0.8811635909545427,0.88125,0.881698553341987,0.88125
14,0.8669893935741589,0.8675,0.8667787403740373,0.8675
0,0.9013825068080799,0.9013732833957553,0.9020240490993168,0.9013732833957553
1,0.8562263997535803,0.85625,0.8562697474207132,0.85625
2,0.8443490423592358,0.845,0.8444177386594448,0.845
3,0.8924905908684534,0.8925,0.8925258255741969,0.8925
4,0.8637531933643646,0.86375,0.8643638989440515,0.86375
5,0.865240450559625,0.8651685393258427,0.866186079744459,0.8651685393258427
6,0.8887682869555007,0.88875,0.8888115985576923,0.88875
7,0.8770143277923137,0.8775,0.8769587885116841,0.8775
8,0.8525737961225767,0.8525,0.8533295207380184,0.8525
9,0.8446199622501896,0.845,0.8473181818181819,0.845
10,0.8714002706642725,0.8714107365792759,0.8713925296168803,0.8714107365792759
11,0.8687485643432075,0.86875,0.8687498437343735,0.86875
12,0.8737695625838342,0.87375,0.8738137224221562,0.87375
13,0.8787194728142481,0.87875,0.8788236582694415,0.87875
14,0.8495291659103569,0.85,0.8498725084536005,0.85
0,0.8888992798217609,0.8888888888888888,0.8895332321783652,0.8888888888888888
1,0.8437634302735362,0.84375,0.8438427786562994,0.84375
2,0.8405614395161922,0.84125,0.8408741176470588,0.84125
3,0.8812182535774085,0.88125,0.8814098051362919,0.88125
4,0.8775122512251227,0.8775,0.8776999999999999,0.8775
5,0.87147931463227,0.8714107365792759,0.8725284323523277,0.8714107365792759
6,0.885012963751597,0.885,0.8850370043390876,0.885
7,0.8782717866492967,0.87875,0.8788391116027902,0.87875
8,0.8650683783665479,0.865,0.8660125,0.865
9,0.8334403252918995,0.83375,0.8353356164383561,0.83375
10,0.868961004698918,0.8689138576779026,0.8690759800031184,0.8689138576779026
11,0.8800015000375009,0.88,0.8800140000875005,0.88
12,0.8587577394231145,0.85875,0.8587681656241586,0.85875
13,0.871217584534717,0.87125,0.8713187294633079,0.87125
14,0.853243045015725,0.85375,0.853751328332552,0.85375
0,0.8914006664670875,0.8913857677902621,0.8917517814884912,0.8913857677902621
1,0.8550135958743553,0.855,0.855123378084452,0.855
2,0.8544212454212454,0.855,0.8540358188781256,0.855
3,0.8837429141445162,0.88375,0.8837606917767107,0.88375
4,0.8762621825733532,0.87625,0.8764961656010349,0.87625
5,0.8564993418926004,0.8564294631710362,0.8570203797600695,0.8564294631710362
6,0.8937933870914749,0.89375,0.8940630863039399,0.89375
7,0.88325403316787,0.88375,0.883125,0.88375
8,0.8500722096141944,0.85,0.8514301430143014,0.85
9,0.8447601776508248,0.845,0.8463149154589371,0.845
10,0.8664650238360404,0.8664169787765293,0.8665807008647618,0.8664169787765293
11,0.868748564450882,0.86875,0.8688801692669267,0.86875
12,0.8674667919799499,0.8675,0.8674770555931692,0.8675
13,0.8812394178591362,0.88125,0.8812536355618937,0.88125
14,0.8545014788963834,0.855,0.854565625,0.855
0,0.9038836489251982,0.9038701622971286,0.9041253529721264,0.9038701622971286
1,0.849991558226352,0.85,0.8499937460913071,0.85
2,0.8468708010335917,0.8475,0.8467988721804511,0.8475
3,0.8862430665285053,0.88625,0.8862610669267706,0.88625
4,0.8750093752343808,0.875,0.8754125412541254,0.875
5,0.8727187761510139,0.8726591760299626,0.8731701114636151,0.8726591760299626
6,0.888795428836956,0.88875,0.8890659005628518,0.88875
7,0.8670351412066752,0.8675,0.867943791836199,0.8675
8,0.8588195459341175,0.85875,0.8600725822077493,0.85875
9,0.8384496388169552,0.83875,0.8403675799086758,0.83875
10,0.872678699497968,0.8726591760299626,0.8727091298531356,0.8726591760299626
11,0.868748564450882,0.86875,0.8688801692669267,0.86875
12,0.8712570545184142,0.87125,0.8712668350958919,0.87125
