Fold,Accuracy,F1,AUC-ROC
5,0.815,0.8065717396481916,0.8247021943573668
6,0.72,0.7080000000000001,0.7555039274256
7,0.775,0.7707748758903519,0.7695238095238096
8,0.73,0.7285756348914244,0.7372510927634774
9,0.74,0.7355987460815047,0.7149101505585236
10,0.735,0.7237072272054604,0.7205700819212209
11,0.74,0.7453035454103935,0.7976915271435819
12,0.785,0.7801494971459636,0.8084810566562391
13,0.745,0.7443386727688787,0.7264448761534725
14,0.745,0.738192083187139,0.7878824672170958
0,0.77,0.77,0.7877148695756702
1,0.795,0.7883107396893242,0.7861521817526145
2,0.66,0.66,0.6873527101335428
3,0.75,0.75,0.782319749216301
4,0.735,0.7343580848709591,0.7822619047619048
5,0.815,0.809541706679029,0.8343573667711599
6,0.74,0.7370013568521031,0.7746432127447725
7,0.765,0.764430754508209,0.7830952380952381
8,0.74,0.7371626984126984,0.7427149101505586
9,0.735,0.7328673183065585,0.7325157843613403
10,0.695,0.6820026577270394,0.7273033329592637
11,0.75,0.758049298266305,0.806443429731101
12,0.745,0.7420163511952369,0.8058162437724481
13,0.735,0.7369257453871227,0.7308159300631374
14,0.745,0.742947796861028,0.7756192326372026
0,0.765,0.7655692454917911,0.7898785911768242
1,0.775,0.7676581289273069,0.7797812237047722
2,0.67,0.6626718092566619,0.6934126360677814
3,0.735,0.7371326816934415,0.7875862068965518
4,0.765,0.764430754508209,0.7936904761904762
5,0.82,0.8140000000000001,0.8233228840125391
6,0.745,0.7390940555507484,0.7767452151786703
7,0.77,0.77,0.7747619047619049
8,0.74,0.74,0.7553423992229238
9,0.73,0.7254294670846394,0.7246236036911121
10,0.72,0.7052288062814378,0.7213556278756593
11,0.745,0.749629290617849,0.7974378488077118
12,0.725,0.720337031609797,0.813463098134631
13,0.725,0.7242868039664379,0.7514570179698884
14,0.73,0.7285756348914244,0.7747693054881011
0,0.77,0.76882710053424,0.7850703209520375
1,0.745,0.7366792127842811,0.7675201346315663
2,0.66,0.6524497428705003,0.6975648075412412
3,0.765,0.7613962873284907,0.7789341692789968
4,0.73,0.73,0.7977380952380952
5,0.805,0.8006717662057469,0.8432601880877743
6,0.72,0.7096968982191296,0.7605929859497732
7,0.78,0.7777561923263719,0.7720238095238094
8,0.735,0.7279251060572229,0.7492714910150559
9,0.73,0.7218559876780901,0.7160029140359397
10,0.745,0.7306345780271962,0.7305577376276513
11,0.78,0.7862857142857144,0.808853373921867
12,0.765,0.7610152815574628,0.8101031166724597
13,0.74,0.7355987460815047,0.7298445847498787
14,0.725,0.7211851990398703,0.7994171928120447
0,0.76,0.7611428571428571,0.7814641182834476
1,0.755,0.7486739808947318,0.7779781223704771
2,0.655,0.6514966103149403,0.6765795084726742
3,0.73,0.7328487302171512,0.7722884012539184
4,0.76,0.7639705882352941,0.8178571428571428
5,0.8,0.7975869593120266,0.831974921630094
6,0.72,0.7155327635327636,0.7769664785927648
7,0.77,0.771057907772143,0.7907142857142857
8,0.735,0.7369257453871227,0.7406508013598835
9,0.71,0.7127619047619046,0.721466731423021
10,0.695,0.6905047445992328,0.7229267197845359
11,0.735,0.7430617020646346,0.8055555555555556
12,0.735,0.7355579591012662,0.8022245394508168
13,0.72,0.7260016220600163,0.7518212724623604
14,0.75,0.7523809523809524,0.7974745021855268
0,0.745,0.7467901892828579,0.7827863925952637
1,0.78,0.778878096163186,0.7747325399687464
2,0.665,0.6656086652690425,0.6939737403209517
3,0.74,0.7439776590577951,0.7936050156739811
4,0.76,0.7639705882352941,0.8032142857142858
5,0.79,0.7860706860706861,0.8252037617554859
6,0.74,0.7370013568521031,0.7809492200464654
7,0.75,0.7522206638616176,0.7807142857142857
8,0.72,0.7260016220600163,0.7612918892666343
9,0.735,0.7296781109114412,0.7243807673627976
10,0.705,0.7006521300222087,0.7336999214454045
11,0.77,0.7774053544050006,0.8117706747843735
