Fold,F1,Recall,Precision,Accuracy,AUC-ROC
11,0.7731345973614014,0.6862745098039216,0.7608695652173914,0.775,0.8081841432225064
12,0.7870805719395656,0.68,0.7906976744186046,0.7899159663865546,0.8747826086956522
13,0.839489921842863,0.7755102040816326,0.8260869565217391,0.8403361344537815,0.9008746355685132
14,0.8255954835500725,0.8695652173913043,0.7272727272727273,0.8235294117647058,0.9172126265634306
0,0.7907264130668386,0.7254901960784313,0.7708333333333334,0.7916666666666666,0.8886047172492185
1,0.7805930823033439,0.6792452830188679,0.8,0.7833333333333333,0.8220219656434807
2,0.8388822320863012,0.7592592592592593,0.8723404255319149,0.8403361344537815,0.9011396011396012
3,0.7983193277310925,0.7209302325581395,0.7209302325581395,0.7983193277310925,0.8436352509179926
4,0.826084151581229,0.8636363636363636,0.7169811320754716,0.8235294117647058,0.893030303030303
5,0.8155073296924403,0.7450980392156863,0.8085106382978723,0.8166666666666667,0.8786587098607559
6,0.81385336743393,0.7017543859649122,0.8888888888888888,0.8166666666666667,0.871901977165135
7,0.8422807350846252,0.8292682926829268,0.7391304347826086,0.8403361344537815,0.8811757348342714
8,0.8073039742212673,0.803921568627451,0.7592592592592593,0.8067226890756303,0.8762975778546713
9,0.7577121171049065,0.7111111111111111,0.6666666666666666,0.7563025210084033,0.8555555555555555
10,0.8072897761645492,0.7346938775510204,0.782608695652174,0.8083333333333333,0.8689278528312733
11,0.7721415607985481,0.6666666666666666,0.7727272727272727,0.775,0.7843137254901961
12,0.7969582199076813,0.72,0.782608695652174,0.7983193277310925,0.867536231884058
13,0.8319327731092437,0.7959183673469388,0.7959183673469388,0.8319327731092437,0.9119533527696794
14,0.8086890304410407,0.8260869565217391,0.7169811320754716,0.8067226890756303,0.8999404407385349
0,0.8235491312810901,0.7450980392156863,0.8260869565217391,0.825,0.8971298664393293
1,0.7646666666666666,0.6792452830188679,0.7659574468085106,0.7666666666666667,0.8411715009856379
2,0.8382476600843084,0.7407407407407407,0.8888888888888888,0.8403361344537815,0.9176638176638177
3,0.7972279821019316,0.6976744186046512,0.7317073170731707,0.7983193277310925,0.8448592411260711
4,0.834505230663694,0.8863636363636364,0.7222222222222222,0.8319327731092437,0.9072727272727272
5,0.8067442866411938,0.7254901960784313,0.8043478260869565,0.8083333333333333,0.8871838590508667
6,0.8049611795711945,0.6842105263157895,0.8863636363636364,0.8083333333333333,0.8911166805903648
7,0.891061998060009,0.8536585365853658,0.8333333333333334,0.8907563025210085,0.8905565978736709
8,0.8073039742212673,0.803921568627451,0.7592592592592593,0.8067226890756303,0.9045559400230682
9,0.7725959549040942,0.6888888888888889,0.7045454545454546,0.773109243697479,0.8606606606606606
10,0.8408045977011495,0.7755102040816326,0.8260869565217391,0.8416666666666667,0.868352974992814
11,0.7810763888888889,0.6862745098039216,0.7777777777777778,0.7833333333333333,0.8184143222506394
12,0.7880602369766456,0.7,0.7777777777777778,0.7899159663865546,0.881159420289855
13,0.8319327731092437,0.7959183673469388,0.7959183673469388,0.8319327731092437,0.9107871720116618
14,0.8588153914452967,0.9130434782608695,0.7636363636363637,0.8571428571428571,0.9216795711733174
0,0.8227767695099819,0.7254901960784313,0.8409090909090909,0.825,0.9050866723500994
1,0.7814761904761904,0.6981132075471698,0.7872340425531915,0.7833333333333333,0.8422979442410589
2,0.830081597856534,0.7407407407407407,0.8695652173913043,0.8319327731092437,0.9188034188034188
3,0.7972279821019316,0.6976744186046512,0.7317073170731707,0.7983193277310925,0.8497552019583843
4,0.834505230663694,0.8863636363636364,0.7222222222222222,0.8319327731092437,0.9048484848484849
5,0.832857142857143,0.7843137254901961,0.8163265306122449,0.8333333333333334,0.8877522023302075
6,0.8057933527035647,0.7017543859649122,0.8695652173913043,0.8083333333333333,0.8936229462545252
7,0.8749382105783491,0.8536585365853658,0.7954545454545454,0.8739495798319328,0.8927454659161976
8,0.8240601503759397,0.8235294117647058,0.7777777777777778,0.8235294117647058,0.9013840830449826
9,0.7983193277310925,0.7333333333333333,0.7333333333333333,0.7983193277310925,0.8696696696696696
10,0.8488633051588458,0.7755102040816326,0.8444444444444444,0.85,0.8867490658235125
11,0.7819632078183386,0.7058823529411765,0.7659574468085106,0.7833333333333333,0.822108553566354
12,0.8050154180185141,0.72,0.8,0.8067226890756303,0.8771014492753623
13,0.8563857195436143,0.7959183673469388,0.8478260869565217,0.8571428571428571,0.9186588921282799
14,0.8419605034078161,0.8695652173913043,0.7547169811320755,0.8403361344537815,0.9216795711733174
0,0.8067442866411938,0.7254901960784313,0.8043478260869565,0.8083333333333333,0.883489627735152
1,0.7468381718884737,0.6415094339622641,0.7555555555555555,0.75,0.8268093494790201
2,0.8388822320863012,0.7592592592592593,0.8723404255319149,0.8403361344537815,0.9076923076923077
3,0.7972279821019316,0.6976744186046512,0.7317073170731707,0.7983193277310925,0.8494492044063646
4,0.8179557537300636,0.8636363636363636,0.7037037037037037,0.8151260504201681,0.8984848484848486
5,0.7987352687553895,0.7254901960784313,0.7872340425531915,0.8,0.8917306052855926
6,0.7969309462915601,0.6842105263157895,0.8666666666666667,0.8,0.8696741854636592
7,0.8169928926282876,0.7804878048780488,0.7111111111111111,0.8151260504201681,0.8680425265791119
8,0.7908152345621133,0.803921568627451,0.7321428571428571,0.7899159663865546,0.8630334486735871
9,0.7725959549040942,0.6888888888888889,0.7045454545454546,0.773109243697479,0.8543543543543543
10,0.7816914407849995,0.6938775510204082,0.7555555555555555,0.7833333333333333,0.8568554182236275
11,0.7642361111111112,0.6666666666666666,0.7555555555555555,0.7666666666666667,0.8047740835464622
12,0.8050154180185141,0.72,0.8,0.8067226890756303,0.8791304347826087
13,0.8232455517850922,0.7755102040816326,0.7916666666666666,0.8235294117647058,0.8994169096209912
14,0.8086890304410407,0.8260869565217391,0.7169811320754716,0.8067226890756303,0.9023228111971412
0,0.8242101869761443,0.7647058823529411,0.8125,0.825,0.903097470872407
1,0.7557883802564653,0.660377358490566,0.7608695652173914,0.7583333333333333,0.8406082793579274
2,0.8293603155547932,0.7222222222222222,0.8863636363636364,0.8319327731092437,0.9139601139601139
3,0.7803303139437594,0.6744186046511628,0.7073170731707317,0.7815126050420168,0.8494492044063647
4,0.834505230663694,0.8863636363636364,0.7222222222222222,0.8319327731092437,0.9021212121212121
5,0.8155073296924403,0.7450980392156863,0.8085106382978723,0.8166666666666667,0.8846263142938334
6,0.8057933527035647,0.7017543859649122,0.8695652173913043,0.8083333333333333,0.8822055137844611
7,0.8669039219114818,0.8536585365853658,0.7777777777777778,0.865546218487395,0.8889931207004378
8,0.8073039742212673,0.803921568627451,0.7592592592592593,0.8067226890756303,0.8907151095732411
9,0.7636007130124778,0.6666666666666666,0.6976744186046512,0.7647058823529411,0.8588588588588588
10,0.8401031380294053,0.7551020408163265,0.8409090909090909,0.8416666666666667,0.8807128485196896
11,0.7721415607985481,0.6666666666666666,0.7727272727272727,0.775,0.8172776356919579
12,0.8130773586030157,0.72,0.8181818181818182,0.8151260504201681,0.8802898550724638
13,0.8482290803645403,0.7959183673469388,0.8297872340425532,0.8487394957983193,0.9058309037900875
14,0.8168238724061053,0.8260869565217391,0.7307692307692307,0.8151260504201681,0.9133412745681954
0,0.8322793906294912,0.7647058823529411,0.8297872340425532,0.8333333333333334,0.9113384484228474
